,Text_balanced,Mapped_Sentiment_Numeric_balanced
0, Enjoying a beautiful day at the park!              ,1
1, Traffic was terrible this morning.                 ,-1
2, Just finished an amazing workout! 💪               ,1
3, Excited about the upcoming weekend getaway!        ,1
4, Trying out a new recipe for dinner tonight.        ,0
5, Feeling grateful for the little things in life.    ,1
6, Rainy days call for cozy blankets and hot cocoa.   ,1
7, The new movie release is a must-watch!             ,1
8, Political discussions heating up on the timeline.  ,-1
9, Missing summer vibes and beach days.               ,0
10, Just published a new blog post. Check it out!      ,1
11, Feeling a bit under the weather today.             ,-1
12, Exploring the city's hidden gems.                  ,1
13," New year, new fitness goals! 💪                    ",1
14, Technology is changing the way we live.            ,0
15, Reflecting on the past and looking ahead.          ,1
16, Just adopted a cute furry friend! 🐾              ,1
17, Late-night gaming session with friends.            ,1
18, Attending a virtual conference on AI.              ,0
19, Winter blues got me feeling low.                   ,-1
20, Sipping coffee and enjoying a good book.           ,1
21, Exploring the world of virtual reality.            ,1
22, Productive day ticking off my to-do list.          ,1
23, Just finished a challenging workout routine.       ,1
24, Celebrating a milestone at work! 🎉               ,1
25, Sunday brunch with friends.                        ,1
26, Learning a new language for personal growth.       ,1
27, Quiet evening with a good book.                    ,1
28, Reflecting on the importance of mental health.     ,1
29, New painting in progress! 🎨                       ,1
30, Weekend road trip to explore scenic views.         ,1
31, Enjoying a cup of tea and watching the sunset.     ,1
32, Coding a new project with enthusiasm.              ,1
33, Feeling inspired after attending a workshop.       ,1
34, Winter sports day at the local park.               ,1
35, Quality time with family this weekend.             ,1
36, Attending a live music concert tonight.            ,1
37, Practicing mindfulness with meditation.            ,1
38, Trying out a new dessert recipe.                   ,1
39, Excited about the upcoming gaming tournament.      ,1
40, Planning a garden makeover for spring.             ,1
41, Celebrating a friend's birthday tonight! 🎂       ,1
42, Feeling accomplished after a productive day.       ,1
43, A cozy evening with a good movie.                 ,1
44, Exploring local art galleries this weekend.        ,1
45, New book release from my favorite author!          ,1
46, Attending a virtual reality meetup.                ,1
47, Reflecting on the beauty of nature.                ,1
48, Cooking a special dinner for loved ones.           ,1
49, Feeling optimistic about the week ahead.           ,1
50, Starting a new fitness challenge tomorrow! 💪     ,1
51, Sunday bike ride through scenic trails.           ,1
52, Can't believe the injustice happening in our society.,-1
53, Feeling a sense of fear after watching a thriller movie. ,-1
54, Heartbroken after hearing the news about a natural disaster. ,-1
55, The state of the world's environment is just disgusting. ,-1
56, Pure happiness: celebrating a loved one's achievement! ,1
57, Laughter is the best medicine—enjoying a comedy show. ,1
58, Sharing love and positive vibes with everyone! ❤️      ,1
59, An amusing incident brightened up my day!               ,1
60, Enjoying a quiet evening with a book and some tea.      ,1
61, Admiring the beauty of nature during a peaceful hike.   ,1
62, Sending affectionate vibes to all my followers!          ,1
63, Experiencing awe at the breathtaking sunset.            ,1
64, Disappointed with the service at a local restaurant.    ,-1
65, A surprise gift from a friend made my day!              ,0
66, Finding acceptance in the midst of life's challenges.   ,0
67, Overflowing with adoration for my adorable pet! 🐾      ,1
68, Anticipating a thrilling adventure in the coming weeks. ,1
69, A bitter experience turned into a valuable lesson.      ,-1
70, Finding calmness in the midst of a busy day.            ,0
71, Confusion clouds my mind as I navigate through decisions.,0
72, Excitement building up for the upcoming vacation!       ,1
73, Kindness witnessed today restored my faith in humanity. ,1
74, Pride in achieving a personal milestone.               ,1
75, A moment of shame for not standing up against injustice. ,-1
76, Fuming with anger after a heated argument.            ,-1
77, The fear of the unknown is keeping me up at night.    ,-1
78, Heartfelt sadness after bidding farewell to a dear friend. ,-1
79, The state of corruption in our society is utterly disgusting. ,-1
80, Overflowing happiness: welcoming a new family member!  ,1
81, Laughter is the key to joy—attending a stand-up comedy show. ,1
82, Sending love to all my followers on this beautiful day! ❤️ ,1
83, Amused by the antics of my pet—it's pure amusement!      ,1
84, Enjoying every moment of this trip—pure enjoyment!      ,1
85, Admiring the dedication of volunteers at a local charity. ,1
86, Sending affectionate vibes to friends and family.        ,1
87, Awe-struck by the beauty of the night sky.               ,1
88, Disappointed with the lack of progress in a personal project. ,-1
89, A surprise visit from an old friend brought tears of joy. ,0
90, Embracing acceptance of life's ups and downs.           ,0
91, Overflowing adoration for a cute rescue puppy! 🐶       ,1
92, Anticipating the release of a much-awaited movie.       ,1
93, Bitter experience at the customer service department.   ,-1
94, Finding calmness amidst the chaos of daily life.        ,0
95, Confusion reigns as I try to make sense of recent events.,0
96, Excitement building up for a surprise birthday party.   ,1
97, Witnessed an act of kindness that made my day.          ,1
98, Pride in completing a challenging fitness challenge.    ,1
99, A moment of shame for not speaking up against injustice.,-1
100, Reflecting on the beauty of diversity in our world.     ,0
101, Excitement for a quiet evening with a good book.        ,1
102, Feeling bitter about the unfairness in the workplace.   ,-1
103, Calmness prevails as I practice mindfulness.            ,0
104, Confusion surrounds me as I navigate through life's choices. ,0
105, Excitement for a weekend road trip to explore new places. ,1
106, Kindness witnessed today restores my faith in humanity.  ,1
107, Pride in accomplishing personal and professional goals.  ,1
108, Shame for not being true to my values in a difficult situation.,-1
109," Revisiting old memories, feeling a sense of elation. ",1
110, The victory of our team brought euphoria to the city. ,1
111," Embracing the beauty of nature, a moment of contentment. ",1
